범죄종류,대분류,중분류,질문답변,비율
디지털성착취,성별,남성,전혀 문제가 되지 않는다,0.1
디지털성착취,성별,남성,문제가 되지 않는다,1.4
디지털성착취,성별,남성,문제가 된다,24.7
디지털성착취,성별,남성,매우 문제가 된다,73.8
디지털성착취,성별,여성,전혀 문제가 되지 않는다,0
디지털성착취,성별,여성,문제가 되지 않는다,1
디지털성착취,성별,여성,문제가 된다,23.4
디지털성착취,성별,여성,매우 문제가 된다,75.6
디지털성착취,연령별,20~29세,전혀 문제가 되지 않는다,0.1
디지털성착취,연령별,20~29세,문제가 되지 않는다,1
디지털성착취,연령별,20~29세,문제가 된다,22.2
디지털성착취,연령별,20~29세,매우 문제가 된다,76.6
디지털성착취,연령별,30~39세,전혀 문제가 되지 않는다,0
디지털성착취,연령별,30~39세,문제가 되지 않는다,1.2
디지털성착취,연령별,30~39세,문제가 된다,22
디지털성착취,연령별,30~39세,매우 문제가 된다,76.8
디지털성착취,연령별,40~49세,전혀 문제가 되지 않는다,0.1
디지털성착취,연령별,40~49세,문제가 되지 않는다,0.7
디지털성착취,연령별,40~49세,문제가 된다,25.3
디지털성착취,연령별,40~49세,매우 문제가 된다,73.9
디지털성착취,연령별,50~59세,전혀 문제가 되지 않는다,0.1
디지털성착취,연령별,50~59세,문제가 되지 않는다,1.1
디지털성착취,연령별,50~59세,문제가 된다,25.5
디지털성착취,연령별,50~59세,매우 문제가 된다,73.2
디지털성착취,연령별,60~69세,전혀 문제가 되지 않는다,0.1
디지털성착취,연령별,60~69세,문제가 되지 않는다,2
디지털성착취,연령별,60~69세,문제가 된다,25
디지털성착취,연령별,60~69세,매우 문제가 된다,72.9
디지털성착취,학력별,초졸이하,전혀 문제가 되지 않는다,0
디지털성착취,학력별,초졸이하,문제가 되지 않는다,0
디지털성착취,학력별,초졸이하,문제가 된다,28.4
디지털성착취,학력별,초졸이하,매우 문제가 된다,71.6
디지털성착취,학력별,중졸,전혀 문제가 되지 않는다,0
디지털성착취,학력별,중졸,문제가 되지 않는다,0.2
디지털성착취,학력별,중졸,문제가 된다,22.8
디지털성착취,학력별,중졸,매우 문제가 된다,77.1
디지털성착취,학력별,고졸,전혀 문제가 되지 않는다,0.1
디지털성착취,학력별,고졸,문제가 되지 않는다,1.4
디지털성착취,학력별,고졸,문제가 된다,22.1
디지털성착취,학력별,고졸,매우 문제가 된다,76.4
디지털성착취,학력별,대졸이상,전혀 문제가 되지 않는다,0
디지털성착취,학력별,대졸이상,문제가 되지 않는다,1.1
디지털성착취,학력별,대졸이상,문제가 된다,25.7
디지털성착취,학력별,대졸이상,매우 문제가 된다,73.2
디지털성착취,월평균 가구소득별,100만원 미만,전혀 문제가 되지 않는다,1.6
디지털성착취,월평균 가구소득별,100만원 미만,문제가 되지 않는다,0.1
디지털성착취,월평균 가구소득별,100만원 미만,문제가 된다,18.1
디지털성착취,월평균 가구소득별,100만원 미만,매우 문제가 된다,80.2
디지털성착취,월평균 가구소득별,100~200만원 미만,전혀 문제가 되지 않는다,0
디지털성착취,월평균 가구소득별,100~200만원 미만,문제가 되지 않는다,2.3
디지털성착취,월평균 가구소득별,100~200만원 미만,문제가 된다,24.4
디지털성착취,월평균 가구소득별,100~200만원 미만,매우 문제가 된다,73.3
디지털성착취,월평균 가구소득별,200~300만원 미만,전혀 문제가 되지 않는다,0
디지털성착취,월평균 가구소득별,200~300만원 미만,문제가 되지 않는다,1.3
디지털성착취,월평균 가구소득별,200~300만원 미만,문제가 된다,23
디지털성착취,월평균 가구소득별,200~300만원 미만,매우 문제가 된다,75.7
디지털성착취,월평균 가구소득별,300~400만원 미만,전혀 문제가 되지 않는다,0
디지털성착취,월평균 가구소득별,300~400만원 미만,문제가 되지 않는다,1.7
디지털성착취,월평균 가구소득별,300~400만원 미만,문제가 된다,24.5
디지털성착취,월평균 가구소득별,300~400만원 미만,매우 문제가 된다,73.7
디지털성착취,월평균 가구소득별,400~500만원 미만,전혀 문제가 되지 않는다,0.1
디지털성착취,월평균 가구소득별,400~500만원 미만,문제가 되지 않는다,1.1
디지털성착취,월평균 가구소득별,400~500만원 미만,문제가 된다,20.2
디지털성착취,월평균 가구소득별,400~500만원 미만,매우 문제가 된다,78.6
디지털성착취,월평균 가구소득별,500~600만원 미만,전혀 문제가 되지 않는다,0.1
디지털성착취,월평균 가구소득별,500~600만원 미만,문제가 되지 않는다,0.9
디지털성착취,월평균 가구소득별,500~600만원 미만,문제가 된다,28.1
디지털성착취,월평균 가구소득별,500~600만원 미만,매우 문제가 된다,71
디지털성착취,월평균 가구소득별,600~700만원 미만,전혀 문제가 되지 않는다,0.1
디지털성착취,월평균 가구소득별,600~700만원 미만,문제가 되지 않는다,0.3
디지털성착취,월평균 가구소득별,600~700만원 미만,문제가 된다,31.5
디지털성착취,월평균 가구소득별,600~700만원 미만,매우 문제가 된다,68.1
디지털성착취,월평균 가구소득별,700만원 이상,전혀 문제가 되지 않는다,0
디지털성착취,월평균 가구소득별,700만원 이상,문제가 되지 않는다,0.7
디지털성착취,월평균 가구소득별,700만원 이상,문제가 된다,16.3
디지털성착취,월평균 가구소득별,700만원 이상,매우 문제가 된다,83.1
디지털성착취,권역별,수도권,전혀 문제가 되지 않는다,0
디지털성착취,권역별,수도권,문제가 되지 않는다,2.1
디지털성착취,권역별,수도권,문제가 된다,26.1
디지털성착취,권역별,수도권,매우 문제가 된다,71.8
디지털성착취,권역별,충청권,전혀 문제가 되지 않는다,0
디지털성착취,권역별,충청권,문제가 되지 않는다,0.2
디지털성착취,권역별,충청권,문제가 된다,18.5
디지털성착취,권역별,충청권,매우 문제가 된다,81.3
디지털성착취,권역별,호남권,전혀 문제가 되지 않는다,0
디지털성착취,권역별,호남권,문제가 되지 않는다,0.1
디지털성착취,권역별,호남권,문제가 된다,28.7
디지털성착취,권역별,호남권,매우 문제가 된다,71.2
디지털성착취,권역별,동북권,전혀 문제가 되지 않는다,0.4
디지털성착취,권역별,동북권,문제가 되지 않는다,0.2
디지털성착취,권역별,동북권,문제가 된다,14.4
디지털성착취,권역별,동북권,매우 문제가 된다,85
디지털성착취,권역별,동남권,전혀 문제가 되지 않는다,0.1
디지털성착취,권역별,동남권,문제가 되지 않는다,0.3
디지털성착취,권역별,동남권,문제가 된다,25.9
디지털성착취,권역별,동남권,매우 문제가 된다,73.6
디지털성착취,인터넷 이용시간별,1시간 미만,전혀 문제가 되지 않는다,0
디지털성착취,인터넷 이용시간별,1시간 미만,문제가 되지 않는다,0.6
디지털성착취,인터넷 이용시간별,1시간 미만,문제가 된다,18.9
디지털성착취,인터넷 이용시간별,1시간 미만,매우 문제가 된다,80.5
디지털성착취,인터넷 이용시간별,1~2시간 미만,전혀 문제가 되지 않는다,0.1
디지털성착취,인터넷 이용시간별,1~2시간 미만,문제가 되지 않는다,1.4
디지털성착취,인터넷 이용시간별,1~2시간 미만,문제가 된다,22.6
디지털성착취,인터넷 이용시간별,1~2시간 미만,매우 문제가 된다,75.9
디지털성착취,인터넷 이용시간별,2~3시간 미만,전혀 문제가 되지 않는다,0.1
디지털성착취,인터넷 이용시간별,2~3시간 미만,문제가 되지 않는다,1.3
디지털성착취,인터넷 이용시간별,2~3시간 미만,문제가 된다,26.8
디지털성착취,인터넷 이용시간별,2~3시간 미만,매우 문제가 된다,71.8
디지털성착취,인터넷 이용시간별,3~4시간 미만,전혀 문제가 되지 않는다,0.1
디지털성착취,인터넷 이용시간별,3~4시간 미만,문제가 되지 않는다,1.1
디지털성착취,인터넷 이용시간별,3~4시간 미만,문제가 된다,27.9
