시점,죄종별(1),죄종별(2),검거자별(1),검거자별(2),데이터
2011,지능범죄,소계,계,소계,370184
2011,지능범죄,소계,경찰,수사·형사,112082
2011,지능범죄,소계,경찰,외근·112차,15009
2011,지능범죄,소계,경찰,교통,180
2011,지능범죄,소계,경찰,검문소,26
2011,지능범죄,소계,경찰,기타경찰,1849
2011,지능범죄,소계,민간인,방범원,95
2011,지능범죄,소계,민간인,경비원,4
2011,지능범죄,소계,민간인,피해자,58
2011,지능범죄,소계,민간인,기타민간인,90
2011,지능범죄,소계,민간인,기타,3711
2011,지능범죄,소계,미상,소계,237080
2011,지능범죄,직무유기,계,소계,844
2011,지능범죄,직무유기,경찰,수사·형사,202
2011,지능범죄,직무유기,경찰,외근·112차,1
2011,지능범죄,직무유기,민간인,기타,3
2011,지능범죄,직무유기,미상,소계,638
2011,지능범죄,직권남용,계,소계,473
2011,지능범죄,직권남용,경찰,수사·형사,97
2011,지능범죄,직권남용,경찰,기타경찰,1
2011,지능범죄,직권남용,민간인,기타,6
2011,지능범죄,직권남용,미상,소계,369
2011,지능범죄,증수뢰,계,소계,1254
2011,지능범죄,증수뢰,경찰,수사·형사,1004
2011,지능범죄,증수뢰,경찰,외근·112차,8
2011,지능범죄,증수뢰,경찰,교통,1
2011,지능범죄,증수뢰,경찰,기타경찰,1
2011,지능범죄,증수뢰,민간인,기타,11
2011,지능범죄,증수뢰,미상,소계,229
2011,지능범죄,통화,계,소계,3158
2011,지능범죄,통화,경찰,수사·형사,65
2011,지능범죄,통화,경찰,외근·112차,13
2011,지능범죄,통화,민간인,피해자,1
2011,지능범죄,통화,민간인,기타민간인,3
2011,지능범죄,통화,민간인,기타,7
2011,지능범죄,통화,미상,소계,3069
2011,지능범죄,문서·인장,계,소계,23169
2011,지능범죄,문서·인장,경찰,수사·형사,9393
2011,지능범죄,문서·인장,경찰,외근·112차,1556
2011,지능범죄,문서·인장,경찰,교통,41
2011,지능범죄,문서·인장,경찰,검문소,2
2011,지능범죄,문서·인장,경찰,기타경찰,433
2011,지능범죄,문서·인장,민간인,방범원,8
2011,지능범죄,문서·인장,민간인,피해자,3
2011,지능범죄,문서·인장,민간인,기타민간인,17
2011,지능범죄,문서·인장,민간인,기타,319
2011,지능범죄,문서·인장,미상,소계,11397
2011,지능범죄,유가증권인지,계,소계,1169
2011,지능범죄,유가증권인지,경찰,수사·형사,308
2011,지능범죄,유가증권인지,경찰,외근·112차,13
2011,지능범죄,유가증권인지,민간인,기타민간인,1
2011,지능범죄,유가증권인지,민간인,기타,4
2011,지능범죄,유가증권인지,미상,소계,843
2011,지능범죄,사기,계,소계,298889
2011,지능범죄,사기,경찰,수사·형사,86205
2011,지능범죄,사기,경찰,외근·112차,11841
2011,지능범죄,사기,경찰,교통,123
2011,지능범죄,사기,경찰,검문소,24
2011,지능범죄,사기,경찰,기타경찰,1237
2011,지능범죄,사기,민간인,방범원,79
2011,지능범죄,사기,민간인,경비원,2
2011,지능범죄,사기,민간인,피해자,42
2011,지능범죄,사기,민간인,기타민간인,55
2011,지능범죄,사기,민간인,기타,2936
2011,지능범죄,사기,미상,소계,196345
2011,지능범죄,횡령,계,소계,33049
2011,지능범죄,횡령,경찰,수사·형사,12217
2011,지능범죄,횡령,경찰,외근·112차,1543
2011,지능범죄,횡령,경찰,교통,15
2011,지능범죄,횡령,경찰,기타경찰,149
2011,지능범죄,횡령,민간인,방범원,5
2011,지능범죄,횡령,민간인,경비원,2
2011,지능범죄,횡령,민간인,피해자,10
2011,지능범죄,횡령,민간인,기타민간인,12
2011,지능범죄,횡령,민간인,기타,354
2011,지능범죄,횡령,미상,소계,18742
2011,지능범죄,배임,계,소계,8179
2011,지능범죄,배임,경찰,수사·형사,2591
2011,지능범죄,배임,경찰,외근·112차,34
2011,지능범죄,배임,경찰,기타경찰,28
2011,지능범죄,배임,민간인,방범원,3
2011,지능범죄,배임,민간인,피해자,2
2011,지능범죄,배임,민간인,기타민간인,2
2011,지능범죄,배임,민간인,기타,71
2011,지능범죄,배임,미상,소계,5448
2012,지능범죄,소계,계,소계,389380
2012,지능범죄,소계,경찰,소계,127815
2012,지능범죄,소계,경찰,수사·형사,111435
2012,지능범죄,소계,경찰,외근·112차,14149
2012,지능범죄,소계,경찰,교통,277
2012,지능범죄,소계,경찰,검문소,17
2012,지능범죄,소계,경찰,기타경찰,1937
2012,지능범죄,소계,민간인,소계,264
2012,지능범죄,소계,민간인,방범원,90
2012,지능범죄,소계,민간인,경비원,1
2012,지능범죄,소계,민간인,피해자,90
2012,지능범죄,소계,민간인,기타민간인,83
2012,지능범죄,소계,민간인,기타,3663
2012,지능범죄,소계,미상,소계,257638
2012,지능범죄,직무유기,계,소계,1031
2012,지능범죄,직무유기,경찰,소계,217
2012,지능범죄,직무유기,경찰,수사·형사,216
2012,지능범죄,직무유기,경찰,외근·112차,1
2012,지능범죄,직무유기,민간인,소계,1
2012,지능범죄,직무유기,민간인,방범원,1
2012,지능범죄,직무유기,민간인,기타,1
2012,지능범죄,직무유기,미상,소계,812
2012,지능범죄,직권남용,계,소계,525
2012,지능범죄,직권남용,경찰,소계,102
2012,지능범죄,직권남용,경찰,수사·형사,101
2012,지능범죄,직권남용,경찰,외근·112차,1
2012,지능범죄,직권남용,민간인,기타,2
2012,지능범죄,직권남용,미상,소계,421
2012,지능범죄,증수뢰,계,소계,855
2012,지능범죄,증수뢰,경찰,소계,666
2012,지능범죄,증수뢰,경찰,수사·형사,656
2012,지능범죄,증수뢰,경찰,외근·112차,5
2012,지능범죄,증수뢰,경찰,교통,1
2012,지능범죄,증수뢰,경찰,기타경찰,4
2012,지능범죄,증수뢰,민간인,기타,7
2012,지능범죄,증수뢰,미상,소계,182
2012,지능범죄,통화,계,소계,2893
2012,지능범죄,통화,경찰,소계,105
2012,지능범죄,통화,경찰,수사·형사,86
2012,지능범죄,통화,경찰,외근·112차,19
2012,지능범죄,통화,민간인,소계,4
2012,지능범죄,통화,민간인,피해자,1
2012,지능범죄,통화,민간인,기타민간인,3
2012,지능범죄,통화,민간인,기타,1
2012,지능범죄,통화,미상,소계,2783
2012,지능범죄,문서·인장,계,소계,22452
2012,지능범죄,문서·인장,경찰,소계,10464
2012,지능범죄,문서·인장,경찰,수사·형사,8328
2012,지능범죄,문서·인장,경찰,외근·112차,1766
2012,지능범죄,문서·인장,경찰,교통,38
2012,지능범죄,문서·인장,경찰,검문소,2
2012,지능범죄,문서·인장,경찰,기타경찰,330
2012,지능범죄,문서·인장,민간인,소계,23
2012,지능범죄,문서·인장,민간인,방범원,2
2012,지능범죄,문서·인장,민간인,피해자,4
2012,지능범죄,문서·인장,민간인,기타민간인,17
2012,지능범죄,문서·인장,민간인,기타,289
2012,지능범죄,문서·인장,미상,소계,11676
2012,지능범죄,유가증권인지,계,소계,757
2012,지능범죄,유가증권인지,경찰,소계,233
2012,지능범죄,유가증권인지,경찰,수사·형사,222
2012,지능범죄,유가증권인지,경찰,외근·112차,10
2012,지능범죄,유가증권인지,경찰,교통,1
2012,지능범죄,유가증권인지,민간인,소계,2
2012,지능범죄,유가증권인지,민간인,피해자,2
2012,지능범죄,유가증권인지,민간인,기타,4
2012,지능범죄,유가증권인지,미상,소계,518
2012,지능범죄,사기,계,소계,316947
2012,지능범죄,사기,경찰,소계,98596
2012,지능범죄,사기,경찰,수사·형사,86137
2012,지능범죄,사기,경찰,외근·112차,10877
2012,지능범죄,사기,경찰,교통,217
2012,지능범죄,사기,경찰,검문소,11
2012,지능범죄,사기,경찰,기타경찰,1354
2012,지능범죄,사기,민간인,소계,186
2012,지능범죄,사기,민간인,방범원,77
2012,지능범죄,사기,민간인,경비원,1
2012,지능범죄,사기,민간인,피해자,66
2012,지능범죄,사기,민간인,기타민간인,42
