시점,죄종별(1),죄종별(2),범죄발생지별(1),범죄발생지별(2),데이터
2011,계,소계,합계,합계,1752598
2011,계,소계,서울시,서울시,358753
2011,계,소계,부산시,부산시,135399
2011,계,소계,대구시,대구시,96450
2011,계,소계,인천시,인천시,86641
2011,계,소계,광주시,광주시,63810
2011,계,소계,대전시,대전시,47401
2011,계,소계,울산시,울산시,37855
2011,계,소계,경기도,고양시,26421
2011,계,소계,경기도,광명시,7920
2011,계,소계,경기도,구리시,7337
2011,계,소계,경기도,군포시,6734
2011,계,소계,경기도,남양주시,13709
2011,계,소계,경기도,부천시,31393
2011,계,소계,경기도,성남시,29500
2011,계,소계,경기도,수원시,36741
2011,계,소계,경기도,시흥시,16324
2011,계,소계,경기도,안산시,25387
2011,계,소계,경기도,안양시,17458
2011,계,소계,경기도,용인시,18903
2011,계,소계,경기도,의정부시,15698
2011,계,소계,경기도,이천시,6839
2011,계,소계,경기도,파주시,11700
2011,계,소계,경기도,평택시,18710
2011,계,소계,강원도,강릉시,8116
2011,계,소계,강원도,원주시,14015
2011,계,소계,강원도,춘천시,9767
2011,계,소계,충청북도,제천시,4059
2011,계,소계,충청북도,청주시,22450
2011,계,소계,충청북도,충주시,6855
2011,계,소계,충청남도,논산시,4013
2011,계,소계,충청남도,서산시,4416
2011,계,소계,충청남도,아산시,6912
2011,계,소계,충청남도,천안시,21379
2011,계,소계,전라북도,군산시,11338
2011,계,소계,전라북도,익산시,11604
2011,계,소계,전라북도,전주시,20622
2011,계,소계,전라북도,정읍시,3623
2011,계,소계,전라남도,목포시,12413
2011,계,소계,전라남도,순천시,11067
2011,계,소계,전라남도,여수시,15073
2011,계,소계,경상북도,경산시,8300
2011,계,소계,경상북도,경주시,9837
2011,계,소계,경상북도,구미시,17743
2011,계,소계,경상북도,김천시,3990
2011,계,소계,경상북도,안동시,5826
2011,계,소계,경상북도,포항시,18857
2011,계,소계,경상남도,거제시,11140
2011,계,소계,경상남도,김해시,21131
2011,계,소계,경상남도,마산시,16348
2011,계,소계,경상남도,양산시,8180
2011,계,소계,경상남도,진주시,13221
2011,계,소계,경상남도,창원시,25155
2011,계,소계,제주특별자치도,제주시,27926
2011,계,소계,기타도시,기타도시,131939
2011,계,소계,도시이외,도시이외,128200
2011,지능범죄,소계,합계,합계,279802
2011,지능범죄,소계,서울시,서울시,71386
2011,지능범죄,소계,부산시,부산시,28310
2011,지능범죄,소계,대구시,대구시,12957
2011,지능범죄,소계,인천시,인천시,12511
