시점,범죄발생장소별(1),죄종별(1),죄종별(2),데이터
2011,계,계,소계,1752598
2011,계,강력범죄,살인기수,427
2011,계,강력범죄,살인미수등,777
2011,계,강력범죄,강도,3994
2011,계,강력범죄,강간·강제추행,19498
2011,계,강력범죄,방화,2003
2011,계,폭력범죄,상해,67206
2011,계,폭력범죄,폭행,126651
2011,계,폭력범죄,체포·감금,832
2011,계,폭력범죄,협박,3578
2011,계,폭력범죄,약취·유인,266
2011,계,폭력범죄,폭력행위등,46729
2011,계,폭력범죄,공갈,5239
2011,계,폭력범죄,손괴,61444
2011,계,지능범죄,소계,279802
2011,계,지능범죄,직무유기,377
2011,계,지능범죄,직권남용,226
2011,계,지능범죄,증수뢰,586
2011,계,지능범죄,통화,7900
2011,계,지능범죄,문서·인장,14948
2011,계,지능범죄,유가증권인지,803
2011,계,지능범죄,사기,223470
2011,계,지능범죄,횡령,26767
2011,계,지능범죄,배임,4725
2011,계,풍속범죄,성풍속범죄,13381
2011,계,풍속범죄,도박범죄,15453
2011,"아파트, 연립다세대",계,소계,59344
2011,"아파트, 연립다세대",강력범죄,살인기수,123
2011,"아파트, 연립다세대",강력범죄,살인미수등,97
2011,"아파트, 연립다세대",강력범죄,강도,323
2011,"아파트, 연립다세대",강력범죄,강간·강제추행,1882
2011,"아파트, 연립다세대",강력범죄,방화,337
2011,"아파트, 연립다세대",폭력범죄,상해,4049
2011,"아파트, 연립다세대",폭력범죄,폭행,5864
2011,"아파트, 연립다세대",폭력범죄,체포·감금,50
2011,"아파트, 연립다세대",폭력범죄,협박,428
2011,"아파트, 연립다세대",폭력범죄,약취·유인,20
2011,"아파트, 연립다세대",폭력범죄,폭력행위등,2175
2011,"아파트, 연립다세대",폭력범죄,공갈,183
2011,"아파트, 연립다세대",폭력범죄,손괴,2738
2011,"아파트, 연립다세대",지능범죄,소계,8995
2011,"아파트, 연립다세대",지능범죄,직무유기,6
2011,"아파트, 연립다세대",지능범죄,직권남용,3
2011,"아파트, 연립다세대",지능범죄,증수뢰,1
2011,"아파트, 연립다세대",지능범죄,통화,5
2011,"아파트, 연립다세대",지능범죄,문서·인장,298
2011,"아파트, 연립다세대",지능범죄,유가증권인지,7
2011,"아파트, 연립다세대",지능범죄,사기,7925
2011,"아파트, 연립다세대",지능범죄,횡령,605
2011,"아파트, 연립다세대",지능범죄,배임,145
2011,"아파트, 연립다세대",풍속범죄,성풍속범죄,1135
2011,"아파트, 연립다세대",풍속범죄,도박범죄,573
2011,단독주택,계,소계,85371
2011,단독주택,강력범죄,살인기수,103
2011,단독주택,강력범죄,살인미수등,163
2011,단독주택,강력범죄,강도,413
2011,단독주택,강력범죄,강간·강제추행,2221
2011,단독주택,강력범죄,방화,338
2011,단독주택,폭력범죄,상해,3977
2011,단독주택,폭력범죄,폭행,5146
2011,단독주택,폭력범죄,체포·감금,80
2011,단독주택,폭력범죄,협박,537
2011,단독주택,폭력범죄,약취·유인,27
2011,단독주택,폭력범죄,폭력행위등,2180
2011,단독주택,폭력범죄,공갈,186
2011,단독주택,폭력범죄,손괴,2732
2011,단독주택,지능범죄,소계,17087
2011,단독주택,지능범죄,직무유기,12
2011,단독주택,지능범죄,직권남용,4
2011,단독주택,지능범죄,증수뢰,7
2011,단독주택,지능범죄,통화,19
2011,단독주택,지능범죄,문서·인장,636
2011,단독주택,지능범죄,유가증권인지,11
2011,단독주택,지능범죄,사기,15458
2011,단독주택,지능범죄,횡령,770
2011,단독주택,지능범죄,배임,170
2011,단독주택,풍속범죄,성풍속범죄,2284
2011,단독주택,풍속범죄,도박범죄,1957
2011,고속도로,계,소계,4942
2011,고속도로,강력범죄,살인기수,1
2011,고속도로,강력범죄,강도,4
2011,고속도로,강력범죄,강간·강제추행,13
2011,고속도로,강력범죄,방화,1
2011,고속도로,폭력범죄,상해,76
2011,고속도로,폭력범죄,폭행,137
2011,고속도로,폭력범죄,체포·감금,5
2011,고속도로,폭력범죄,협박,4
2011,고속도로,폭력범죄,폭력행위등,46
2011,고속도로,폭력범죄,손괴,24
2011,고속도로,지능범죄,소계,128
2011,고속도로,지능범죄,직무유기,1
2011,고속도로,지능범죄,증수뢰,1
2011,고속도로,지능범죄,통화,3
2011,고속도로,지능범죄,문서·인장,6
2011,고속도로,지능범죄,사기,90
2011,고속도로,지능범죄,횡령,27
2011,고속도로,풍속범죄,성풍속범죄,2
2011,노상,계,소계,709011
2011,노상,강력범죄,살인기수,46
2011,노상,강력범죄,살인미수등,171
2011,노상,강력범죄,강도,1078
