시점,범죄별,범죄내용,조치상황별,데이터
2011,재산범죄,사기,합계,251182
2011,재산범죄,사기,구속송치,3295
2011,재산범죄,사기,불구속송치,247887
2011,재산범죄,횡령,합계,28163
2011,재산범죄,횡령,구속송치,289
2011,재산범죄,횡령,불구속송치,27874
2012,재산범죄,사기,합계,325786
2012,재산범죄,사기,구속송치,3583
2012,재산범죄,사기,불구속송치,322203
2012,재산범죄,횡령,합계,37782
2012,재산범죄,횡령,구속송치,297
2012,재산범죄,횡령,불구속송치,37485
2013,재산범죄,사기,합계,357611
2013,재산범죄,사기,구속송치,3688
2013,재산범죄,사기,불구속송치,353923
2013,재산범죄,횡령,합계,41433
2013,재산범죄,횡령,구속송치,349
2013,재산범죄,횡령,불구속송치,41084
2014,재산범죄,사기,합계,232827
2014,재산범죄,사기,구속송치,3678
2014,재산범죄,사기,불구속송치,229149
2014,재산범죄,횡령,합계,34337
2014,재산범죄,횡령,구속송치,351
2014,재산범죄,횡령,불구속송치,33986
2015,재산범죄,사기,합계,241830
2015,재산범죄,사기,구속송치,5686
2015,재산범죄,사기,불구속송치,236144
2015,재산범죄,횡령,합계,38393
2015,재산범죄,횡령,구속송치,374
2015,재산범죄,횡령,불구속송치,38019
2016,재산범죄,사기,합계,236001
2016,재산범죄,사기,구속송치,5586
2016,재산범죄,사기,불구속송치,230415
2016,재산범죄,횡령,합계,37984
2016,재산범죄,횡령,구속송치,335
2016,재산범죄,횡령,불구속송치,37649
2017,재산범죄,사기,합계,223122
2017,재산범죄,사기,구속송치,5578
2017,재산범죄,사기,불구속송치,217544
2017,재산범죄,횡령,합계,36315
2017,재산범죄,횡령,구속송치,298
2017,재산범죄,횡령,불구속송치,36017
2018,재산범죄,사기,합계,242658
2018,재산범죄,사기,구속송치,5396
2018,재산범죄,사기,불구속송치,237262
2018,재산범죄,횡령,합계,37797
2018,재산범죄,횡령,구속송치,257
2018,재산범죄,횡령,불구속송치,37540
2019,재산범죄,사기,합계,260828
2019,재산범죄,사기,구속송치,5613
2019,재산범죄,사기,불구속송치,255215
2019,재산범죄,횡령,합계,38055
2019,재산범죄,횡령,구속송치,230
2019,재산범죄,횡령,불구속송치,37825
2020,재산범죄,사기,합계,258094
2020,재산범죄,사기,구속송치,6037
2020,재산범죄,사기,불구속송치,252057
2020,재산범죄,횡령,합계,38151
2020,재산범죄,횡령,구속송치,172
2020,재산범죄,횡령,불구속송치,37979
