시점,죄종별(1),재산피해정도별(1),재산피해정도별(2),데이터
2011,사기,계,합계,223470
2011,사기,피해무,합계,12886
2011,사기,피해정도,1만원이하,2142
2011,사기,피해정도,10만원이하,14398
2011,사기,피해정도,100만원이하,40834
2011,사기,피해정도,1000만원이하,54470
2011,사기,피해정도,1억원이하,45713
2011,사기,피해정도,10억원이하,12972
2011,사기,피해정도,10억원초과,1144
2011,사기,미상,합계,38911
2011,횡령,계,합계,26767
2011,횡령,피해무,합계,951
2011,횡령,피해정도,1만원이하,77
2011,횡령,피해정도,10만원이하,177
2011,횡령,피해정도,100만원이하,1016
2011,횡령,피해정도,1000만원이하,854
2011,횡령,피해정도,1억원이하,857
2011,횡령,피해정도,10억원이하,334
2011,횡령,피해정도,10억원초과,38
2011,횡령,미상,합계,22463
2012,사기,계,합계,235366
2012,사기,피해무,합계,26039
2012,사기,피해정도,합계,200421
2012,사기,피해정도,1만원이하,2302
2012,사기,피해정도,10만원이하,16827
2012,사기,피해정도,100만원이하,51634
2012,사기,피해정도,1000만원이하,64344
2012,사기,피해정도,1억원이하,49300
2012,사기,피해정도,10억원이하,14663
2012,사기,피해정도,10억원초과,1351
2012,사기,미상,합계,8906
2012,횡령,계,합계,31273
2012,횡령,피해무,합계,2381
2012,횡령,피해정도,합계,25285
2012,횡령,피해정도,1만원이하,560
2012,횡령,피해정도,10만원이하,1802
2012,횡령,피해정도,100만원이하,7226
2012,횡령,피해정도,1000만원이하,5959
2012,횡령,피해정도,1억원이하,6637
2012,횡령,피해정도,10억원이하,2703
2012,횡령,피해정도,10억원초과,398
2012,횡령,미상,합계,3607
2013,사기,계,합계,269082
2013,사기,피해무,합계,8033
2013,사기,피해정도,1만원이하,2806
2013,사기,피해정도,10만원이하,26590
2013,사기,피해정도,100만원이하,75506
2013,사기,피해정도,1000만원이하,72114
2013,사기,피해정도,1억원이하,55229
2013,사기,피해정도,10억원이하,16818
2013,사기,피해정도,10억원초과,1334
2013,사기,미상,합계,10652
2013,횡령,계,합계,34892
2013,횡령,피해무,합계,1412
2013,횡령,피해정도,1만원이하,581
2013,횡령,피해정도,10만원이하,1474
2013,횡령,피해정도,100만원이하,7009
2013,횡령,피해정도,1000만원이하,4736
2013,횡령,피해정도,1억원이하,5508
2013,횡령,피해정도,10억원이하,2196
2013,횡령,피해정도,10억원초과,361
2013,횡령,미상,합계,11615
2014,사기,계,합계,238409
2014,사기,피해무,합계,3101
2014,사기,피해정도,합계,220539
2014,사기,피해정도,1만원이하,3086
2014,사기,피해정도,10만원이하,22072
2014,사기,피해정도,100만원이하,60969
2014,사기,피해정도,1000만원이하,65383
2014,사기,피해정도,1억원이하,52766
2014,사기,피해정도,10억원이하,15030
2014,사기,피해정도,10억원초과,1233
2014,사기,미상,합계,14769
2014,횡령,계,합계,37024
2014,횡령,피해무,합계,1156
2014,횡령,피해정도,합계,32884
2014,횡령,피해정도,1만원이하,1319
2014,횡령,피해정도,10만원이하,3369
2014,횡령,피해정도,100만원이하,10638
2014,횡령,피해정도,1000만원이하,6770
2014,횡령,피해정도,1억원이하,7527
2014,횡령,피해정도,10억원이하,2868
2014,횡령,피해정도,10억원초과,393
2014,횡령,미상,합계,2984
2015,사기,계,합계,247293
2015,사기,피해무,합계,4126
2015,사기,피해정도,합계,238879
2015,사기,피해정도,1만원이하,3446
2015,사기,피해정도,10만원이하,27462
2015,사기,피해정도,100만원이하,70516
2015,사기,피해정도,1000만원이하,66414
2015,사기,피해정도,1억원이하,53934
2015,사기,피해정도,10억원이하,15831
2015,사기,피해정도,10억원초과,1276
2015,사기,미상,합계,4288
2015,횡령,계,합계,46734
2015,횡령,피해무,합계,1453
2015,횡령,피해정도,합계,44229
2015,횡령,피해정도,1만원이하,2385
2015,횡령,피해정도,10만원이하,5467
2015,횡령,피해정도,100만원이하,16923
2015,횡령,피해정도,1000만원이하,7992
2015,횡령,피해정도,1억원이하,7965
2015,횡령,피해정도,10억원이하,3084
2015,횡령,피해정도,10억원초과,413
2015,횡령,미상,합계,1052
2016,사기,계,합계,241613
2016,사기,피해무,합계,2646
2016,사기,피해정도,1만원이하,2516
2016,사기,피해정도,10만원이하,30221
2016,사기,피해정도,100만원이하,71316
2016,사기,피해정도,1000만원이하,57196
2016,사기,피해정도,1억원이하,51105
2016,사기,피해정도,10억원이하,16112
2016,사기,피해정도,10억원초과,1452
2016,사기,미상,합계,9049
2016,횡령,계,합계,50053
2016,횡령,피해무,합계,955
2016,횡령,피해정도,1만원이하,2698
2016,횡령,피해정도,10만원이하,6916
2016,횡령,피해정도,100만원이하,19196
2016,횡령,피해정도,1000만원이하,7629
2016,횡령,피해정도,1억원이하,7006
2016,횡령,피해정도,10억원이하,2753
2016,횡령,피해정도,10억원초과,398
2016,횡령,미상,합계,2502
2017,사기,계,합계,231489
2017,사기,피해무,합계,3140
2017,사기,피해정도,1만원이하,2805
2017,사기,피해정도,10만원이하,27183
2017,사기,피해정도,100만원이하,63296
2017,사기,피해정도,1000만원이하,54028
2017,사기,피해정도,1억원이하,48115
2017,사기,피해정도,10억원이하,14540
2017,사기,피해정도,10억원초과,1226
2017,사기,미상,합계,17156
2017,횡령,계,합계,50498
2017,횡령,피해무,합계,1316
2017,횡령,피해정도,1만원이하,3161
2017,횡령,피해정도,10만원이하,7540
2017,횡령,피해정도,100만원이하,18994
2017,횡령,피해정도,1000만원이하,6809
2017,횡령,피해정도,1억원이하,5653
2017,횡령,피해정도,10억원이하,2545
